Date,Time,Area_Name,Road_Type,Weather_Condition,Surface_Condition,Traffic_Density,Accident_Severity
2023-01-01,22:00,Najafgarh-Dhansa Road,Rural,Stormy,Wet,Medium,9
2023-01-01,14:00,Lajpat Nagar Market Rd,City,Rain,Wet,Low,4
2023-01-01,13:00,Chandni Chowk Main Road,City,Fog,Damp,Low,7
2023-01-01,22:00,Lajpat Nagar Market Rd,City,Stormy,Wet,Low,6
2023-01-01,13:00,Outer Ring Road (Nehru Place),Highway,Fog,Damp,Low,9
2023-01-01,15:00,Chandni Chowk Main Road,City,Stormy,Wet,Low,5
2023-01-01,15:00,DND Flyway,Highway,Stormy,Wet,Low,7
2023-01-01,15:00,Hauz Khas Village Rd,City,Stormy,Wet,Medium,8
2023-01-01,09:00,Lajpat Nagar Market Rd,City,Fog,Damp,High,5
2023-01-01,23:00,Chandni Chowk Main Road,City,Fog,Damp,Medium,4
2023-01-01,12:00,Chandni Chowk Main Road,City,Rain,Wet,High,4
2023-01-01,09:00,DND Flyway,Highway,Fog,Damp,High,10
2023-01-01,07:00,Outer Ring Road (Nehru Place),Highway,Clear,Dry,Medium,4
2023-01-01,03:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,High,10
2023-01-01,19:00,Chhatarpur Farm Road,Rural,Clear,Dry,Medium,1
2023-01-01,16:00,DND Flyway,Highway,Stormy,Wet,Low,7
2023-01-01,04:00,DND Flyway,Highway,Rain,Wet,Low,5
2023-01-01,17:00,Lajpat Nagar Market Rd,City,Fog,Damp,Medium,5
2023-01-02,09:00,Chhatarpur Farm Road,Rural,Stormy,Wet,Medium,10
2023-01-02,23:00,Hauz Khas Village Rd,City,Stormy,Wet,Low,5
2023-01-02,15:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,Medium,10
2023-01-02,04:00,Lajpat Nagar Market Rd,City,Fog,Damp,Low,5
2023-01-02,19:00,Noida-Greater Noida Expressway,Highway,Fog,Damp,Medium,8
2023-01-02,15:00,Chandni Chowk Main Road,City,Stormy,Wet,Low,7
2023-01-02,13:00,Lajpat Nagar Market Rd,City,Fog,Damp,High,8
2023-01-02,13:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,High,10
2023-01-02,22:00,Chhatarpur Farm Road,Rural,Clear,Dry,Low,2
2023-01-02,10:00,Lajpat Nagar Market Rd,City,Clear,Dry,High,4
2023-01-02,07:00,Chhatarpur Farm Road,Rural,Fog,Damp,Low,9
2023-01-02,10:00,Connaught Place Outer Circle,City,Fog,Damp,Low,6
2023-01-02,23:00,Najafgarh-Dhansa Road,Rural,Clear,Dry,Medium,1
2023-01-02,19:00,Hauz Khas Village Rd,City,Clear,Dry,Medium,1
2023-01-02,09:00,Najafgarh-Dhansa Road,Rural,Clear,Dry,Low,1
2023-01-02,14:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,Medium,10
2023-01-02,15:00,Connaught Place Outer Circle,City,Fog,Damp,High,7
2023-01-02,18:00,Outer Ring Road (Nehru Place),Highway,Rain,Wet,High,9
2023-01-02,06:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,Medium,7
2023-01-02,19:00,Najafgarh-Dhansa Road,Rural,Rain,Wet,High,4
2023-01-03,13:00,Chandni Chowk Main Road,City,Clear,Dry,Medium,2
2023-01-03,08:00,Chhatarpur Farm Road,Rural,Rain,Wet,Medium,3
2023-01-03,22:00,DND Flyway,Highway,Stormy,Wet,High,9
2023-01-03,15:00,Noida-Greater Noida Expressway,Highway,Stormy,Wet,Medium,8
2023-01-03,22:00,DND Flyway,Highway,Stormy,Wet,Low,10
2023-01-03,08:00,Najafgarh-Dhansa Road,Rural,Rain,Wet,Low,4
2023-01-03,23:00,DND Flyway,Highway,Stormy,Wet,Medium,7
2023-01-03,13:00,Lajpat Nagar Market Rd,City,Stormy,Wet,High,7
2023-01-03,11:00,Connaught Place Outer Circle,City,Clear,Dry,Low,2
2023-01-03,06:00,Delhi-Gurgaon Expressway,Highway,Stormy,Wet,Medium,7
2023-01-03,19:00,Hauz Khas Village Rd,City,Rain,Wet,High,6
2023-01-03,19:00,Delhi-Gurgaon Expressway,Highway,Clear,Dry,Low,2
2023-01-03,20:00,DND Flyway,Highway,Fog,Damp,High,8
2023-01-03,16:00,Najafgarh-Dhansa Road,Rural,Fog,Damp,Low,9
2023-01-03,17:00,Najafgarh-Dhansa Road,Rural,Stormy,Wet,High,10
2023-01-03,21:00,Delhi-Gurgaon Expressway,Highway,Rain,Wet,High,9
2023-01-03,17:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,Medium,7
2023-01-03,08:00,Bawana Industrial Area,Rural,Stormy,Wet,Medium,10
2023-01-03,03:00,Connaught Place Outer Circle,City,Stormy,Wet,Medium,7
2023-01-04,21:00,Chhatarpur Farm Road,Rural,Rain,Wet,High,5
2023-01-04,12:00,Bawana Industrial Area,Rural,Clear,Dry,Low,1
2023-01-04,03:00,Bawana Industrial Area,Rural,Rain,Wet,Low,4
2023-01-04,16:00,Bawana Industrial Area,Rural,Clear,Dry,High,2
2023-01-04,09:00,Delhi-Gurgaon Expressway,Highway,Rain,Wet,Low,6
2023-01-04,11:00,Outer Ring Road (Nehru Place),Highway,Stormy,Wet,High,10
2023-01-04,12:00,Connaught Place Outer Circle,City,Rain,Wet,Medium,3
